gene_symbol	Blood and lymphatic system disorders	Cardiac disorders	Ear and labyrinth disorders	Endocrine disorders	Eye disorders	Gastrointestinal disorders	Hepatobiliary disorders	Immune system disorders	Metabolism and nutrition disorders	Musculoskeletal and connective tissue disorders	Nervous system disorders	Pregnancy, puerperium and perinatal conditions	Renal and urinary disorders	Reproductive system and breast disorders	Respiratory, thoracic and mediastinal disorders	Skin and subcutaneous tissue disorders	Vascular disorders
IFFO2	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.2	0.0	0.2	0.0	0.0	0.0	0.0	0.1	0.0	0.0
IFI16	0.0	0.0	0.0	0.0	0.2	0.2	0.1	0.3	0.0	0.2	0.0	0.1	0.1	0.3	0.0	0.0	0.2
IFI27	0.1	0.1	0.1	0.0	0.2	0.0	0.3	0.1	0.1	0.2	0.2	0.0	0.0	0.0	0.3	0.0	0.3
IFI27L1	0.0	0.2	0.1	0.0	0.2	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.1	0.1
IFI27L2	0_confirmed	0.1	0_confirmed	0.1	0.1	0.1	0.0	0.0	0_confirmed	0.1	0_confirmed	0.2	0.2	0.1	0_confirmed	0.2	0.0
IFI30	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.1	0.0	0.0	0.1	0.1	0.0	0.0
IFI35	0.0	0.1	0.2	0.1	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.1	0.0	0.1	0.0
IFI44	0.0	0.1	0.0	0.1	0.0	0.3	0.0	0.2	0.0	0.2	0.0	0.1	0.1	0.0	0.0	0.0	0.0
IFI44L	0.1	0.3	0.2	0.1	0.1	0.0	0.0	0.3	0.0	0.0	0.0	0.1	0.0	0.1	0.0	0.1	0.0
IFI6	0.0	0.0	0.0	0.2	0.0	0.1	0.1	0.0	0.2	0.1	0.1	0.0	0.1	0.0	0.2	0.1	0.2
IFIH1	0.1	0.0	0.0	0.1	0.0	0.1	0.0	0.2	0.1	0.0	0.3	0.2	0.0	0.1	0.1	0.0	0.1
IFIT1	0.0	0.1	0.0	0.0	0.0	0.0	0.1	0.2	0.2	0.0	0.0	0.0	0.2	0.1	0.1	0.2	0.0
IFIT1B	0.2	0.2	0.0	0.0	0.3	0.1	0.3	0.1	0.2	0.2	0.0	0.0	0.1	0.0	0.0	0.0	0.0
IFIT2	0.2	0.0	0.1	0.0	0.0	0.1	0.0	0.1	0.2	0.1	0.3	0.2	0.1	0.0	0.0	0.0	0.1
IFIT3	0.0	0.0	0.2	0.2	0.1	0.0	0.1	0.0	0.2	0.0	0.2	0.0	0.0	0.0	0.0	0.1	0.0
IFIT5	0.1	0.1	0.0	0.1	0.0	0.2	0.0	0.1	0.1	0.1	0.3	0.2	0.2	0.1	0.0	0.1	0.0
IFITM1	0.2	0.1	0.3	0.0	0.1	0.1	0.2	0.2	0.1	0.0	0.0	0.2	0.0	0.1	0.0	0.1	0.1
IFITM10	0.0	0.0	0.0	0.2	0.0	0.3	0.0	0.2	0.1	0.2	0.0	0.0	0.2	0.0	0.1	0.1	0.0
IFITM2	0.3	0.1	0.1	0.1	0.0	0.0	0.0	0.2	0.0	0.1	0.0	0.2	0.2	0.0	0.1	0.0	0.2
IFITM3	0.1	0.1	0.0	0.2	0.1	0.1	0.0	0.2	0.3	0.0	0.1	0.1	0.1	0.0	0.1	0.0	0.1
IFITM5	0.0	0.0	0.0	0.1	0.1	0.0	0.0	0.0	0.1	0.0	0.2	0.0	0.1	0.0	0.0	0.0	0.0
IFNA1	0.0	0.1	0.2	0.0	0.1	0.2	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0
IFNA10	0.1	0.2	0.0	0.0	0.0	0.0	0.0	0.2	0.1	0.0	0.0	0.0	0.0	0.1	0.0	0.2	0.3
IFNA13	0.1	0.2	0.2	0.1	0.3	0.0	0.1	0.0	0.0	0.1	0.2	0.0	0.0	0.0	0.1	0.0	0.0
IFNA14	0.0	0.3	0.0	0.1	0.0	0.1	0.0	0.1	0.2	0.1	0.1	0.2	0.0	0.0	0.0	0.1	0.0
IFNA16	0.0	0.0	0.1	0.1	0.2	0.0	0.0	0.1	0.1	0.1	0.0	0.0	0.1	0.0	0.0	0.3	0.1
IFNA17	0.2	0.1	0.1	0.1	0.1	0.0	0.3	0.0	0.1	0.0	0.1	0.0	0.1	0.1	0.2	0.0	0.2
IFNA2	0.1	0.0	0.0	0.3	0.1	0.0	0.0	0.2	0.3	0.0	0.0	0.3	0.0	0.0	0.1	0.0	0.0
IFNA21	0.0	0.2	0.0	0.1	0.0	0.3	0.1	0.1	0.0	0.1	0.1	0.0	0.0	0.0	0.2	0.0	0.1
IFNA4	0.1	0.0	0.1	0.1	0.0	0.2	0.1	0.0	0.1	0.3	0.3	0.0	0.1	0.0	0.1	0.0	0.2
IFNA5	0.1	0.0	0.0	0.1	0.2	0.0	0.0	0.0	0.2	0.3	0.0	0.1	0.0	0.0	0.1	0.1	0.0
IFNA6	0_confirmed	0_confirmed	0.3	0.2	0_confirmed	0_confirmed	0.1	0_confirmed	0.1	0_confirmed	0.0	0.2	0_confirmed	0_confirmed	0.1	0_confirmed	0_confirmed
IFNA7	0.1	0.0	0.1	0.1	0.0	0.0	0.2	0.1	0.0	0.1	0.0	0.1	0.1	0.2	0.0	0.1	0.1
IFNA8	0_confirmed	0_confirmed	0.1	0.2	0.1	0_confirmed	0.1	0.2	0.1	0.0	0_confirmed	0.2	0.1	0.0	0_confirmed	0_confirmed	0_confirmed
IFNAR1	0.2	0.4	0.1	0.3	0.0	0.0	0.5	0.3	0.1	0.4	0.3	0.1	0.1	0.3	0.1	0.1	0.2
IFNAR2	0.2	0.3	0.1	0.3	0.0	0.0	0.4	0.3	0.1	0.3	0.2	0.1	0.1	0_confirmed	0.1	0.1	0.3
IFNB1	0.1	0.1	0.0	0.1	0.0	0.1	0.1	0.1	0.3	0.1	0.2	0.0	0.2	0.0	0.0	0.0	0.0
IFNE	0.1	0.1	0.0	0.3	0.0	0.1	0.3	0.2	0.1	0.0	0.2	0.0	0.0	0.2	0.1	0.0	0.0
IFNG	0.0	0.2	0.0	0.1	0.0	0.2	0.1	0.1	0.1	0.2	0.2	0.2	0.1	0.1	0.1	0.1	0.0
IFNGR1	0.3	0.2	0.1	0.1	0.0	0_confirmed	0.2	0.1	0.1	0.1	0_confirmed	0.0	0.1	0.1	0.1	0_confirmed	0_confirmed
IFNGR2	0_confirmed	0.2	0.1	0.1	0.2	0.1	0.1	0_confirmed	0.1	0_confirmed	0_confirmed	0.0	0.1	0.0	0_confirmed	0_confirmed	0_confirmed
IFNK	0.1	0.1	0.0	0.0	0.0	0.2	0.2	0.1	0.3	0.1	0.0	0.3	0.2	0.0	0.1	0.0	0.2
IFNL1	0.0	0.1	0.1	0.2	0.0	0.2	0.1	0.1	0.1	0.1	0.2	0.0	0.2	0.0	0.0	0.0	0.1
IFNL2	0.2	0.1	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.2	0.3	0.2
IFNL3	0.2	0.1	0.4	0.1	0.1	0.1	1_confirmed	0.4	0.1	0.3	0.2	0.1	0.1	0.1	0.1	0.1	0.0
IFNL4	0.1	0.1	0.5	0.2	0.3	0.1	1_confirmed	0.3	0.1	0.4	0.2	0_confirmed	0.1	0_confirmed	0.1	0.1	0.2
IFNLR1	0.2	0.0	0.1	0.3	0.0	0.1	0.1	0.2	0.2	0.1	0.1	0.1	0.0	0.2	0.0	0.1	0.2
IFNW1	0.0	0.2	0.0	0.1	0.2	0.0	0.1	0.0	0.0	0.0	0.0	0.2	0.1	0.0	0.3	0.2	0.0
IFRD1	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.1	0.1	0.1	0.0	0.0	0.1	0.3	0.1	0.0
IFRD2	0.3	0.2	0.2	0.2	0.3	0.1	0.0	0.1	0.0	0.2	0.0	0.0	0.0	0.2	0.0	0.0	0.0
IFT122	0.0	0.1	0.1	0.1	0.0	0.0	0.2	0.2	0.0	0.1	0.0	0.1	0.2	0.3	0.1	0.1	0.0
IFT140	0.1	0.1	0.0	0.0	0.2	0.0	0.2	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.2	0.2
IFT172	0.0	0.0	0.1	0.0	0.1	0.0	0.2	0.1	0.0	0.0	0.0	0.1	0.1	0.2	0.0	0.2	0.0
IFT20	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.1	0.2	0.2	0.1	0.2	0.0	0.1	0.0	0.2	0.2
IFT22	0.0	0.1	0.0	0.0	0.2	0.1	0.1	0.2	0.2	0.0	0.1	0.1	0.1	0.0	0.0	0.1	0.1
IFT27	0.0	0.1	0.0	0.2	0.2	0.2	0.2	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.2	0.0
IFT43	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.2	0.1	0.0	0.1	0.0	0.1	0.2	0.0	0.2
IFT46	0.1	0.2	0.0	0.1	0.0	0.0	0.0	0.1	0.1	0.0	0.1	0.1	0.0	0.0	0.1	0.0	0.0
IFT52	0.0	0.1	0.0	0.2	0.0	0.1	0.0	0.1	0.0	0.1	0.0	0.1	0.1	0.1	0.1	0.1	0.1
IFT57	0.1	0.0	0.2	0.3	0.1	0.0	0.1	0.0	0.0	0.2	0.0	0.2	0.0	0.1	0.1	0.1	0.1
IFT74	0.1	0.0	0.0	0.1	0.1	0.0	0.1	0.1	0.1	0.1	0.1	0.1	0.0	0.0	0.2	0.0	0.0
IFT80	0.0	0.3	0.1	0.1	0.1	0.2	0.0	0.1	0.1	0.1	0.0	0.2	0.3	0.3	0.1	0.0	0.0
IFT81	0.0	0.1	0.0	0.0	0.3	0.0	0.0	0.1	0.2	0.3	0.1	0.1	0.2	0.0	0.2	0.1	0.1
IFT88	0.0	0.3	0.0	0.0	0.2	0.0	0.2	0.0	0.0	0.3	0.0	0.0	0.0	0.1	0.0	0.3	0.1
IFTAP	0.0	0.0	0.1	0.1	0.0	0.0	0.0	0.1	0.2	0.0	0.0	0.1	0.0	0.2	0.2	0.2	0.3
IGBP1	0.1	0.0	0.0	0.1	0.0	0.1	0.2	0.0	0.0	0.0	0.2	0.1	0.0	0.0	0.2	0.0	0.0
IGDCC3	0.0	0.2	0.2	0.0	0.2	0.2	0.0	0.1	0.1	0.1	0.1	0.1	0.0	0.0	0.2	0.0	0.2
IGDCC4	0.2	0.1	0.2	0.0	0.0	0.0	0.2	0.1	0.2	0.1	0.1	0.1	0.0	0.1	0.0	0.2	0.0
IGF1	0.2	0.3	0.4	0.2	0.4	0.1	0.1	0.1	0.2	0.0	0.2	0.3	0.1	0.7	0.3	0.1	0.2
IGF1R	0.9	1.0	0.6	0.5	0.8	1.0	0.7	0.8	0.9	0.4	0.9	0.2	0.3	0.9	0.8	0.9	0.9
IGF2	0.8	0.5	0.3	0.2	0.5	0.5	0.2	0.2	0.3	0.1	0.5	0.1	0.2	0.6	0.2	0.4	0.3
IGF2BP1	0.1	0.0	0.2	0.0	0.1	0.0	0.0	0.2	0.3	0.0	0.1	0.1	0.0	0.2	0.0	0.0	0.2
IGF2BP2	0.1	0.2	0.1	0_confirmed	0.1	0_confirmed	0.2	0.1	0_confirmed	0.1	0_confirmed	0.2	0.0	0.1	0.1	0_confirmed	0_confirmed
IGF2BP3	0.0	0.0	0.0	0.0	0.0	0.1	0.2	0.0	0.1	0.1	0.0	0.1	0.2	0.0	0.0	0.1	0.2
IGF2R	0.1	0.1	0.0	0.3	0.1	0.2	0.0	0.3	0.0	0.0	0.1	0.0	0.1	0.0	0.0	0.1	0.1
IGFALS	0.2	0.2	0.2	0.3	0.0	0.3	0.3	0.1	0.2	0.2	0.0	0.2	0.1	0.1	0.3	0.1	0.0
IGFBP1	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0
IGFBP2	0.1	0.1	0.1	0.3	0_confirmed	0.1	0.0	0.1	0.1	0.1	0.0	0.2	0.1	0.1	0.1	0.0	0.0
IGFBP3	0.1	0.2	0.3	0.1	0.3	0.3	0.1	0.1	0.1	0.1	0.0	0.1	0_confirmed	0.2	0.2	0.1	0.0
IGFBP4	0.0	0.0	0.1	0.2	0.3	0.1	0.1	0.1	0.1	0.2	0.0	0.0	0.3	0.0	0.1	0.1	0.1
IGFBP5	0.0	0.1	0.5	0.1	0.1	0.0	0.1	0.1	0.0	0.1	0.0	0.2	0.1	0.2	0.1	0.1	0.2
IGFBP6	0.0	0.0	0.1	0.0	0.0	0.3	0.2	0.3	0.0	0.1	0.0	0.0	0.1	0.1	0.0	0.2	0.2
IGFBP7	0.3	0.2	0.3	0.0	0.0	0.0	0.0	0.1	0.1	0.0	0.1	0.1	0.1	0.1	0.0	0.0	0.0
IGFBPL1	0.0	0.2	0.0	0.0	0.0	0.1	0.0	0.3	0.0	0.1	0.3	0.2	0.0	0.0	0.0	0.0	0.0
IGFL1	0.1	0.0	0.3	0.2	0.2	0.0	0.0	0.0	0.2	0.1	0.3	0.2	0.1	0.1	0.0	0.0	0.0
IGFL2	0.0	0.0	0.3	0.1	0.1	0.0	0.0	0.1	0.0	0.1	0.0	0.3	0.0	0.0	0.1	0.0	0.2
IGFL3	0.0	0.0	0.0	0.1	0.0	0.2	0.0	0.2	0.2	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.2
IGFL4	0.0	0.0	0.2	0.0	0.1	0.1	0.0	0.0	0.1	0.0	0.2	0.1	0.1	0.0	0.0	0.1	0.0
IGFLR1	0.0	0.1	0.2	0.0	0.2	0.0	0.1	0.1	0.1	0.1	0.1	0.3	0.0	0.0	0.0	0.2	0.2
IGFN1	0.2	0.3	0.2	0.0	0.0	0.1	0.0	0.0	0.2	0.0	0.1	0.2	0.1	0.0	0.2	0.0	0.1
IGH	0_confirmed	0_confirmed	0.7	0_confirmed	0.6	0_confirmed	0.9	0.2	0_confirmed	0_confirmed	0_confirmed	0.1	0.7	0.1	0.5	0.5	1.0
IGHE	0.1	0.0	0_confirmed	0.1	0.2	0_confirmed	0_confirmed	0.1	0_confirmed	0_confirmed	0_confirmed	0.1	0.1	0_confirmed	0.1	0.2	0_confirmed
IGHMBP2	0.2	0.0	0.2	0.0	0.0	0.0	0.2	0.3	0.2	0.2	0.1	0.1	0.2	0.3	0.1	0.0	0.0
IGHV4-38-2	0.2	0.1	0.0	0.0	0.0	0.0	0.1	0.3	0.0	0.1	0.2	0.0	0.0	0.0	0.0	0.0	0.0
IGIP	0.3	0.2	0.1	0.0	0.1	0.0	0.1	0.0	0.0	0.3	0.1	0.0	0.0	0.0	0.1	0.1	0.1
IGLL1	0.0	0.1	0.3	0.2	0.3	0.0	0.3	0.1	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.2
IGLL5	0.1	0.0	0.0	0.1	0.1	0.3	0.1	0.2	0.0	0.0	0.1	0.0	0.1	0.0	0.0	0.2	0.0
IGLON5	0.0	0.1	0.3	0.1	0.1	0.0	0.0	0.0	0.1	0.1	0.3	0.0	0.1	0.0	0.1	0.0	0.0
IGSF1	0.3	0.0	0.2	0.1	0.0	0.2	0.2	0.0	0.1	0.0	0.1	0.0	0.3	0.0	0.2	0.3	0.2
IGSF10	0.1	0.0	0.0	0.0	0.2	0.1	0.2	0.1	0.2	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
IGSF11	0.0	0.1	0.0	0.0	0.3	0.2	0.3	0.0	0.0	0.0	0.1	0.2	0.1	0.0	0.0	0.0	0.3
IGSF21	0.0	0.2	0.0	0.2	0.1	0.0	0.3	0.0	0.0	0.0	0.0	0.2	0.1	0.2	0.1	0.2	0.1
IGSF22	0.3	0.0	0.2	0.2	0.1	0.0	0.1	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0
IGSF23	0.0	0.0	0.2	0.1	0.1	0.3	0.0	0.0	0.2	0.1	0.0	0.0	0.3	0.0	0.2	0.0	0.1
IGSF3	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.2	0.1	0.1	0.2	0.0	0.2	0.1	0.1	0.0
IGSF5	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.2	0.0	0.0	0.2	0.0	0.1	0.0	0.0	0.0	0.0
IGSF6	0.3	0.0	0.1	0.1	0.2	0.0	0.1	0.0	0.2	0.1	0.1	0.0	0.3	0.1	0.0	0.0	0.0
IGSF8	0.2	0.1	0.1	0.0	0.1	0.0	0.0	0.3	0.2	0.2	0.3	0.0	0.1	0.0	0.1	0.0	0.0
IGSF9	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.2	0.0	0.3	0.0	0.2	0.0	0.1	0.2	0.1	0.1
IGSF9B	0.0	0.1	0.2	0.1	0.2	0.1	0.0	0.0	0.2	0.1	0.0	0.1	0.0	0.0	0.2	0.3	0.2
IHH	0.0	0.0	0.1	0.2	0.3	0.2	0.1	0.1	0.1	0.0	0.0	0.0	0.0	0.0	0.2	0.1	0.1
IHO1	0.3	0.3	0.1	0.1	0.0	0.0	0.0	0.0	0.1	0.2	0.1	0.0	0.1	0.0	0.3	0.2	0.0
IK	0.0	0.1	0.1	0.2	0.1	0.0	0.3	0.0	0.2	0.2	0.0	0.0	0.0	0.0	0.2	0.1	0.2
IKBIP	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.1	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.0	0.0
IKBKB	0.1	0.2	0.0	0.1	0.4	0.1	0.2	0.2	0.1	0.2	0.3	0.0	0.3	0.2	0.4	0.1	0.1
IKBKE	0.3	0.2	0.0	0.0	0.0	0.0	0_confirmed	0_confirmed	0.1	0.0	0.0	0.0	0_confirmed	0.3	0_confirmed	0.2	0.1
IKBKG	0.1	0.2	0.0	0.2	0_confirmed	0.1	0.1	0.2	0_confirmed	0.3	0_confirmed	1_confirmed	0.2	0.2	0_confirmed	0_confirmed	0.1
IKZF1	1_confirmed	1_confirmed	0.1	0.4	1_confirmed	1_confirmed	0.5	1_confirmed	1_confirmed	0.2	1_confirmed	0.0	1_confirmed	0.2	1_confirmed	1_confirmed	1_confirmed
IKZF2	0.1	0.0	0.0	0.1	0.0	0.1	0.0	0.2	0.2	0.0	0.1	0.1	0.1	0.0	0.0	0.2	0.0
IKZF3	0.6	0.7	0.1	0.2	1.0	0.7	0.2	0.7	0.7	0.1	0.7	0.1	0.6	0.2	0.7	0.8	0.7
IKZF4	0.1	0.2	0.0	0.3	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.1
IKZF5	0.2	0.0	0.3	0.1	0.2	0.0	0.1	0.1	0.1	0.2	0.0	0.0	0.0	0.2	0.0	0.2	0.1
IL10	1_confirmed	0.9	1_confirmed	0.0	0.2	0.5	1_confirmed	1_confirmed	1_confirmed	0.7	1_confirmed	0.0	1_confirmed	0.2	1_confirmed	1_confirmed	0.9
IL10RA	0_confirmed	0.2	0.1	0_confirmed	0_confirmed	0.2	0.3	0.2	0.0	0.2	0.1	0.1	0_confirmed	0.2	0.1	0_confirmed	0_confirmed
IL10RB	0.2	0.0	0.1	0.0	0.0	0.1	0.2	0.1	0.3	0.2	0.0	0.0	0.1	0.0	0.1	0.1	0.2
IL11	0.0	0.1	0.3	0.1	0.0	0.0	0.1	0.3	0.2	0.5	0.2	0.0	0.1	0.2	0.1	0.1	0.0
IL11RA	0.3	0.3	0.2	0.0	0.0	0.0	0.1	0.2	0.1	0.3	0.1	0.3	0.1	0.1	0.1	0.0	0.0
IL12A	0_confirmed	0.0	0_confirmed	0.1	0.1	0_confirmed	0.1	0_confirmed	0.0	0.2	0_confirmed	0.2	0_confirmed	0.0	0.3	0_confirmed	0_confirmed
IL12B	0_confirmed	0.1	0_confirmed	0.1	0.1	0.0	0_confirmed	0.3	0_confirmed	0.2	0.2	0.0	0.1	0_confirmed	0.0	0.1	0.2
IL12RB1	0.0	0.2	0.3	0.0	0.0	0.0	0.0	0.0	0.3	0.1	0.0	0.0	0.2	0.0	0.0	0.0	0.0
IL12RB2	0.3	0.1	0.2	0.1	0.2	0.2	0.2	0.0	0.0	0.1	0.0	0.1	0.0	0.0	0.2	0.1	0.2
IL13	0_confirmed	0_confirmed	0.1	0.1	0.0	0_confirmed	0.1	0.0	0_confirmed	0_confirmed	0_confirmed	0.1	0.3	0.2	0.1	0_confirmed	0.2
IL13RA1	0.0	0.0	0.1	0.0	0.3	0.1	0.1	0.0	0.0	0.2	0.2	0.2	0.2	0.0	0.2	0.2	0.0
IL13RA2	0.1	0.1	0.1	0.1	0.0	0.2	0.1	0.1	0.1	0.0	0.1	0.1	0.1	0.1	0.1	0.2	0.1
IL15	0.0	0.1	0.1	0.1	0.1	0.0	0.3	0.0	0.0	0.1	0.1	0.1	0.0	0.1	0.1	0.0	0.0
IL15RA	0.0	0.1	0.2	0.1	0.0	0.0	0.1	0.0	0.2	0.0	0.1	0.2	0.0	0.0	0.1	0.1	0.1
IL16	0.0	0.1	0.0	0.3	0.1	0.1	0.2	0.1	0.3	0.1	0.2	0.0	0.3	0.0	0.2	0.1	0.1
IL17A	0.1	0.2	0.1	0.1	0.0	0.2	0.0	0.4	0.1	0.1	0.2	0.0	0.2	0.0	0.1	0.3	0.1
IL17B	0.1	0.0	0.1	0.1	0.2	0.1	0.1	0.2	0.3	0.0	0.1	0.0	0.0	0.2	0.1	0.2	0.2
IL17C	0.0	0.1	0.2	0.3	0.1	0.0	0.2	0.3	0.0	0.0	0.0	0.0	0.0	0.1	0.2	0.1	0.0
IL17D	0.3	0.1	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0
IL17F	0.2	0.2	0.0	0.0	0.3	0.0	0.2	0.0	0.0	0.0	0.1	0.0	0.1	0.1	0.1	0.1	0.2
IL17RA	0.2	0_confirmed	0.1	0.2	0.1	0_confirmed	0.1	0.4	0.2	0.0	0_confirmed	0.1	0_confirmed	0.2	0_confirmed	0_confirmed	0.0
IL17RB	0.0	0.2	0.0	0.0	0.2	0.2	0.0	0.0	0.2	0.1	0.1	0.0	0.0	0.2	0.1	0.3	0.0
IL17RC	0.2	0.1	0.1	0.0	0.2	0.0	0.1	0.0	0.0	0.0	0.1	0.1	0.2	0.0	0.1	0.1	0.2
IL17RD	0.1	0.1	0.1	0.0	0.2	0.2	0.0	0.1	0.2	0.0	0.0	0.2	0.0	0.2	0.1	0.0	0.2
IL17RE	0.0	0.1	0.0	0.0	0.1	0.1	0.1	0.3	0.1	0.3	0.0	0.0	0.0	0.0	0.3	0.2	0.3
IL17REL	0.0	0.1	0.1	0.0	0.1	0.1	0.2	0.2	0.2	0.0	0.0	0.0	0.2	0.1	0.1	0.1	0.1
IL18	0.1	0.2	0.0	0.1	0.1	0.1	0.0	0.1	0.0	0.1	0.1	0.3	0.1	0.2	0.1	0.1	0.0
IL18BP	0.1	0.2	0.1	0.0	0.0	0.2	0.1	0.2	0.1	0.1	0.1	0.1	0.0	0.0	0.0	0.0	0.0
IL18R1	0.0	0.0	0.0	0.2	0.0	0.2	0.1	0.1	0.0	0.1	0.2	0.1	0.0	0.3	0.1	0.1	0.0
IL18RAP	0.0	0.0	0.0	0.1	0.0	0.1	0.2	0.2	0.0	0.2	0.2	0.0	0.1	0.1	0.0	0.0	0.1
IL19	0.0	0.0	0.2	0.0	0.0	0.1	0.0	0.0	0.0	0.2	0.1	0.1	0.1	0.0	0.2	0.0	0.0
IL1A	0.0	0.1	0.1	0.2	0.1	0.6	0.0	0.3	0.4	0.0	0.1	0_confirmed	0.1	0.0	0.1	0.1	0.3
IL1B	0.1	0.2	0.0	0.0	0.1	1_confirmed	0.1	1_confirmed	0.6	1_confirmed	0.2	0.0	0.0	0.1	0.1	1_confirmed	0.5
IL1F10	0.0	0.0	0.1	0.1	0.2	0.1	0.0	0.2	0.3	0.3	0.1	0.2	0.1	0.3	0.2	0.2	0.0
IL1R1	0_confirmed	0_confirmed	0_confirmed	0.1	0.1	0.0	0.2	0_confirmed	0.1	0.0	0.1	0.0	0.2	0.1	0_confirmed	0_confirmed	0_confirmed
IL1R2	0_confirmed	0.1	0.1	0.1	0.2	0.8	0.1	0.9	0.7	0_confirmed	0_confirmed	0_confirmed	0.1	0.0	0_confirmed	0_confirmed	0.4
IL1RAP	0.0	0.1	0.0	0.1	0.1	0.2	0.1	0.2	0.1	0.0	0.2	0.1	0.1	0.0	0.0	0.0	0.0
IL1RAPL1	0.0	0.1	0.1	0.1	0.1	0.1	0.0	0.1	0.1	0.1	0.0	0.1	0.0	0.0	0.0	0.2	0.1
IL1RAPL2	0.2	0.0	0.1	0.1	0.3	0.0	0.0	0.1	0.0	0.0	0.0	0.1	0.3	0.0	0.0	0.0	0.1
IL1RL1	0.1	0.1	0.2	0.1	0.2	0.1	0.1	0.0	0.1	0.0	0.1	0.0	0.0	0.3	0.0	0.0	0.2
IL1RL2	0.0	0.2	0.0	0.1	0.0	0.0	0.1	0.0	0.2	0.1	0.1	0.2	0.0	0.1	0.2	0.1	0.0
IL1RN	0.0	0.1	0.0	0.1	0_confirmed	0.2	0.0	0.2	0.2	0.1	0.0	0.1	0.0	0.1	0.0	0.1	0.2
IL2	0.4	0.6	0.1	0.2	0.3	0.3	0.3	0.7	0.3	0.1	0.4	0.0	0.4	0.0	0.7	0.6	0.5
IL20	0.0	0.0	0.1	0.2	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.1	0.1	0.2	0.0	0.2	0.0
IL20RA	0.2	0.2	0.0	0.3	0.3	0.1	0.1	0.0	0.1	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0
IL20RB	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.1	0.0	0.0	0.2	0.0	0.3	0.1	0.0
IL21	0.3	0.0	0.1	0.0	0.1	0.3	0.1	0.1	0.2	0.0	0.1	0.1	0.0	0.0	0.1	0.1	0.0
IL21R	0.2	0.0	0.0	0.0	0.2	0.0	0.0	0.1	0.1	0.0	0.2	0.1	0.0	0.3	0.2	0.1	0.0
IL22	0.1	0.0	0.1	0.2	0.2	0.1	0.1	0.0	0.0	0.1	0.0	0.1	0.0	0.0	0.0	0.3	0.1
IL22RA1	0.2	0.0	0.1	0.0	0.0	0.1	0.1	0.0	0.1	0.1	0.1	0.2	0.2	0.1	0.0	0.2	0.2
IL22RA2	0.0	0.0	0.1	0.2	0.1	0.2	0.1	0.0	0.0	0.1	0.2	0.0	0.0	0.0	0.1	0.1	0.2
IL23A	0.0	0.1	0.0	0.1	0.0	0.0	0_confirmed	0.4	0_confirmed	0.5	0.1	0.1	0.1	0_confirmed	0.1	0.1	0.1
IL23R	0.2	0_confirmed	0.2	0_confirmed	0_confirmed	0.0	0.2	0.1	0.2	0_confirmed	0_confirmed	0.1	0.0	0.1	0_confirmed	0_confirmed	0.0
IL24	0.3	0.0	0.0	0.0	0.0	0.2	0.1	0.0	0.1	0.2	0.1	0.0	0.0	0.0	0.0	0.1	0.2
IL25	0.0	0.1	0.1	0.0	0.0	0.0	0.1	0.0	0.2	0.0	0.0	0.0	0.0	0.1	0.0	0.1	0.1
IL26	0.0	0.3	0.0	0.0	0.1	0.1	0.1	0.0	0.0	0.2	0.2	0.0	0.2	0.0	0.1	0.0	0.1
IL27	0.1	0.0	0.0	0.1	0.1	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.1	0.1	0.0	0.1	0.0
IL27RA	0.1	0.1	0.2	0.0	0.0	0.0	0.0	0.1	0.1	0.1	0.1	0.1	0.1	0.0	0.0	0.1	0.0
